,image_path,psnr,baseline
0,baboon.png,25.195953369140625,24.854883193969727
1,baby.png,37.16228485107422,37.10932159423828
2,barbara.png,28.365724563598633,28.00076675415039
3,bird.png,38.6640625,36.83454132080078
4,butterfly.png,31.645166397094727,27.433338165283203
5,coastguard.png,29.80683708190918,29.133216857910156
6,face.png,35.2303466796875,34.865909576416016
7,flowers.png,32.03551483154297,30.374055862426758
8,foreman.png,35.190284729003906,34.01431655883789
9,head.png,35.30489730834961,34.89253234863281
10,lenna.png,35.73486328125,34.721038818359375
11,man.png,30.57019805908203,29.252065658569336
12,monarch.png,36.004310607910156,32.95503234863281
13,pepper.png,35.500885009765625,34.908390045166016
14,woman.png,34.292320251464844,32.15248489379883
15,TOTAL_AVG,33.3802433013916,32.10012626647949
